alcohol_id,alcohol_type,origin,alcohol_age,alcohol_cost,ABV,tasting_note,tasting_score,flavor_profile,flavor_type_rating
1261,whiskey,Crown Royal // Canada,NAS,2,35.0,,,,2.82
1262,whiskey,"Crown Royal // Manitoba, Canada",NAS,2,40.0,"""The nose opens slowly on green apples sprinkled with nutmeg powder and cloves, and displays the dustiness of rye with the sweet vanilla of bourbon. Dry brown hay and dusty grain round it out. The toffee-sweet palate is rich with gingery spices and crisp oakiness on a creamy vanilla custard base. Spicy hot pepper balances a zippy citrus zest. A slight tannic pull precedes a classic grapefruit pith finish.
""",85,"{""smoky"":0,""peaty"":0,""spicy"":80,""herbal"":50,""oily"":30,""full_bodied"":50,""rich"":70,""sweet"":70,""briny"":0,""salty"":0,""vanilla"":70,""tart"":30,""fruity"":60,""floral"":60}",3.77
1263,whiskey,"Gimli, Manitoba, Canada",10,2,40.0,,,,3.44
1264,whiskey,"Crown Royal // Manitoba, Canada",NAS,2,40.0,,,,2.43
1265,whiskey,Crown Royal // Canada,13 Year,3,45.0,"""This Canadian whiskey is an unapologetic homage to America’s most famous style of booze — bourbon. The nose strikes ripe notes of honey candy, toasted vanilla bean, cinnamon cake, and corn fritter. The palate is equally sweet toned and very easy to drink although for the prolonged barrel aging one could hope for a bit more richness and power in the finish.""",86,"{""smoky"":5,""peaty"":0,""spicy"":45,""herbal"":5,""oily"":40,""full_bodied"":25,""rich"":35,""sweet"":80,""briny"":0,""salty"":0,""vanilla"":85,""tart"":0,""fruity"":20,""floral"":15}",4.02
1266,whiskey,"Crown Royal // Manitoba, Canada",16 Year,3,45.0,"""The nose shows lots of oak influence providing an almost cedar-y quality. There's also a touch of vanilla and chocolate to be found. The whisky feels soft on the palate, but there's lots of spices, char smoke and more vanilla as well.  The finish is more bitter than sweet--not a complaint.  Re-tasting brings out more dried herbs on the nose. The finish isn't uber complex for a 16 year-old whisky. But for the price, it's a unique whisky in the Crown Royal portfolio so worth checking out.  """,85,"{""smoky"":30,""peaty"":0,""spicy"":65,""herbal"":50,""oily"":10,""full_bodied"":45,""rich"":45,""sweet"":55,""briny"":0,""salty"":0,""vanilla"":45,""tart"":35,""fruity"":30,""floral"":0}",3.83
1267,whiskey,Crown Royal // Canada,NAS,3,40.3,"""Cornerstone offers an oaky nose, with baking spices and cloves, rye spice, and a light fruitiness. The palate is creamy, and starts soft before offering a more robust rye-spice backbone, along with cherries, vanilla, berries, and red apples. The finish is pleasant and long lasting, offering more baking spices, fruits and oak for a smooth and well-balanced ride from start to finish. """,94,"{""smoky"":10,""peaty"":0,""spicy"":70,""herbal"":10,""oily"":10,""full_bodied"":70,""rich"":60,""sweet"":50,""briny"":0,""salty"":10,""vanilla"":50,""tart"":30,""fruity"":60,""floral"":10}",3.94
1268,whiskey,Crown Royal // Canada,NAS,3,40.0,"""On the nose, classic vanilla and sweet maple notes along with toasted barrel spices accent the aroma. The body is of average weight with an initial softness on the tongue. Once again the toasted barrel spices come through offering some dimension to the dram. The mild sweetness of the whisky tempers the spicy notes to a pleasant experience. Dried red fruits, toasted sugar, and oak notes are found on a bittersweet finish. """,88,"{""smoky"":10,""peaty"":0,""spicy"":75,""herbal"":20,""oily"":15,""full_bodied"":40,""rich"":40,""sweet"":50,""briny"":0,""salty"":0,""vanilla"":45,""tart"":35,""fruity"":45,""floral"":0}",3.95
1269,whiskey,"Crown Royal // Manitoba, Canada",NAS,3,45.0,,,,3.84
1270,whiskey,"Crown Royal // Manitoba, Canada",NAS,2,45.0,"""A very unusual bouquet for a rye whiskey, very fruity, with plum, apricot, baked pears, and a hint of spearmint. Very light oak and just a hint of the grain are also apparent. The entry on the palate is quite sweet, reminiscent of Juicy Fruit chewing gum, with vanilla, moderate oak, baking spices and orange marmalade. The finish is moderate, with big cinnamon, oak, grain notes and a bit of an alcohol burn. 
""",89,"{""smoky"":0,""peaty"":0,""spicy"":70,""herbal"":10,""oily"":20,""full_bodied"":40,""rich"":10,""sweet"":90,""briny"":0,""salty"":0,""vanilla"":70,""tart"":10,""fruity"":100,""floral"":20}",3.56
1271,whiskey,Crown Royal // Canada,NAS,1,35.0,"""The aroma of this flavored whisky is filled with ripe peaches including the skins. Some barrel spices make it through, but the nose is all about the peach. The whisky is not entirely overwhelmed on the palate, but it's close. There's a little heat from the proof and the finish is more sweet-bitter than bittersweet. Make sure to adjust for sweetness in mixed drinks. Try adding to an Arnold Palmer on a sunny afternoon. """,77,"{""smoky"":0,""peaty"":0,""spicy"":30,""herbal"":0,""oily"":20,""full_bodied"":45,""rich"":45,""sweet"":80,""briny"":0,""salty"":0,""vanilla"":10,""tart"":30,""fruity"":100,""floral"":0}",3.78
1272,whiskey,"Crown Royal // Manitoba, Canada",NAS,1,35.0,,,,3.07
1273,whiskey,"Crown Royal // Manitoba, Canada",,2,40.0,"""Aromas of white peach, apple juice and grapes seems like this will taste too sweet and punch-like. Thankfully, the whisky takes a turn to nicely integrated dark grains, slight char, and cinnamon.  The texture is soft and supple, but not oily.  The finish is pleasant and balanced.""",89,"{""smoky"":40,""peaty"":0,""spicy"":70,""herbal"":40,""oily"":30,""full_bodied"":60,""rich"":60,""sweet"":50,""briny"":0,""salty"":0,""vanilla"":50,""tart"":50,""fruity"":80,""floral"":40}",3.55
1274,whiskey,Crown Royal // Canada,NAS,1,35.0,,,,3.33
1275,whiskey,Crown Royal // USA,NAS,2,40.0,"""No surprise as mesquite smoke leads on the nose, with barbecued meat and beef jerky, a background of vanilla cream soda, and an almost agave-like quality. The palate offers vanilla, root beer, and oak, along with more agave and a creamy mouthfeel. The finish has red pepper, more mesquite, and again, a smoky, diesel fumy mezcal vibe, and while the whiskey itself finishes quick the smoke lasts for some time. Unfortunately the flavors are disjointed and in a blind tasting, you'd likely be hard pressed to classify this as ""whiskey"".""",69,"{""smoky"":90,""peaty"":0,""spicy"":40,""herbal"":50,""oily"":60,""full_bodied"":40,""rich"":60,""sweet"":50,""briny"":0,""salty"":30,""vanilla"":70,""tart"":0,""fruity"":0,""floral"":0}",2.12
1276,whiskey,"Crown Royal // Manitoba, Canada",NAS,1,40.0,,,,3.37
1277,whiskey,"Crown Royal // Manitoba, Canada",NAS,2,40.0,"""The nose is sweet, with the low-key caramel, oak, and nutmeg that will be familiar to Crown Royal drinker, as well as a dash of orange bitters. In the mouth, it starts out similarly familiar, with toffee, rich chocolate, charred oak, and candied nuts. This gives way eventually to more oak, dried apricot, cream, butterscotch, rye spice, and cloves. Pleasant and easy-drinking, though the effect of the Cognac cask may be less pronounced than you  expect.
""",87,"{""smoky"":20,""peaty"":0,""spicy"":50,""herbal"":30,""oily"":40,""full_bodied"":70,""rich"":80,""sweet"":80,""briny"":0,""salty"":0,""vanilla"":70,""tart"":20,""fruity"":60,""floral"":50}",3.82
1278,whiskey,"Crown Royal // Manitoba, Canada",NAS,4,40.0,"""The aroma is heavy on the spice, both from the whisky and the barrel along with sweet notes of vanilla and candied apple caramel coating.  The mid-palate is a bit aggressive and raw and is mixed with a young corn profile and dried fruit.  The finish is on the dry and bitter side.  For the price, the whisky should be a bit more balanced and integrated.""",84,"{""smoky"":20,""peaty"":0,""spicy"":70,""herbal"":20,""oily"":30,""full_bodied"":50,""rich"":50,""sweet"":50,""briny"":0,""salty"":0,""vanilla"":60,""tart"":40,""fruity"":70,""floral"":0}",4.09
1279,sugarcane,Cruzan // US Virgin Islands,,1,,,,"{""smoky"":25,""earthy"":10,""spicy"":75,""herbal"":0,""oily"":10,""roast"":0,""rich"":20,""sweet"":0,""mineral"":0,""woody"":40,""hogo"":5,""tart"":17,""fruity"":60,""floral"":10}",
1280,sugarcane,Cruzan // US Virgin Islands,,1,,,,"{""smoky"":10,""earthy"":5,""spicy"":30,""herbal"":10,""oily"":40,""roast"":30,""rich"":75,""sweet"":85,""mineral"":0,""woody"":10,""hogo"":5,""tart"":20,""fruity"":40,""floral"":0}",
1281,sugarcane,"St Croix, US Virgin Islands",,1,,,,,
1282,sugarcane,Cruzan // US Virgin Islands,,2,,,,"{""smoky"":10,""earthy"":25,""spicy"":35,""herbal"":30,""oily"":25,""roast"":25,""rich"":30,""sweet"":35,""mineral"":5,""woody"":35,""hogo"":25,""tart"":5,""fruity"":20,""floral"":10}",
1283,other,"Tre Venezie , Italy",,1,,,,,
1284,gin,"Cutler's // California, USA",,2,,,,"{""juniper"":15,""earthy"":5,""spicy"":25,""herbal"":65,""oily"":70,""chemical"":0,""rich"":75,""sweet"":75,""mineral"":5,""woody"":0,""harsh"":5,""bitter"":5,""fruity"":80,""floral"":70}",
1285,whiskey,Cutty Sark // Scotland,NAS,2,40.0,"""The aroma calls to mind a lemon heavy hot toddy.  Herbaceous honey is bright on your nose and as you dig a little deeper, you'll find grains and pears.  The smoke factor is minimal and more of a char than peat reek.  The whisky is quite oily, and while not entirely complex, it finishes pleasantly with more cereal and honey.   
""",82,"{""smoky"":20,""peaty"":0,""spicy"":40,""herbal"":50,""oily"":60,""full_bodied"":40,""rich"":40,""sweet"":50,""briny"":10,""salty"":20,""vanilla"":50,""tart"":70,""fruity"":60,""floral"":30}",2.43
1286,whiskey,Cutty Sark // Scotland,,2,50.0,"""The nose is reminiscent of winter holiday cookies filled with ginger, lemon, and cinnamon aromas.  The whisky hits your tongue slightly sweet and while flavors of pear and citrus come about, the fruit factor is minimal. Peat smoke is present, but muted with the focus staying with the barrel spices and that classic Cutty Sark oily character.""",85,"{""smoky"":30,""peaty"":20,""spicy"":70,""herbal"":30,""oily"":60,""full_bodied"":50,""rich"":50,""sweet"":50,""briny"":10,""salty"":20,""vanilla"":60,""tart"":50,""fruity"":60,""floral"":30}",3.27
1287,whiskey,"Cutwater  // California, USA",4 Year,4,46.0,,,,4.17
1288,sugarcane,"Cutwater  // California, USA",,2,,,,,
1289,liqueur,Cynar // Italy,,1,,,,"{""sweet"":40,""rich"":88,""spicy"":25,""herbal"":90,""fruity"":10,""floral"":0,""bitter"":95,""tart"":0,""earthy"":50,""roast"":0,""nutty"":35,""woody"":0,""smoky"":0,""oily"":70}",
1290,whiskey,"Cyrus Noble // Kentucky, USA",NAS,2,45.0,"""The aroma of the bourbon is more on the leather and dried herbs side (think thyme) than the syrupy, sweet side. This is more of a masculine whiskey, perhaps not full-on-Marlboro-Man-masculine, but definitely on that side of the scale. Once in a while you catch a glimpse of some dark chocolate or a little sweetened vanilla cream, but mostly what stands out is that nothing really stands out...and that is not a negative. The flavors harmonize well, but the volume is turned down to a gentle hum.
""",87,"{""smoky"":15,""peaty"":0,""spicy"":50,""herbal"":65,""oily"":20,""full_bodied"":50,""rich"":50,""sweet"":65,""briny"":0,""salty"":0,""vanilla"":35,""tart"":35,""fruity"":55,""floral"":35}",3.42
1291,vodka,CÎROC // France,,2,,,,,
1292,brandy,CÎROC // France,,2,,,,,
1293,vodka,CÎROC // France,,2,,,,,
1294,whiskey,Scotland,10,2,47.5,,,,4.1
1295,whiskey,"Islay Caol Ila, Scotland",7,3,47.5,,,,3.75
1296,agave,"Jalisco, Mexico",,5,,,,,
1297,agave,"Código 1530 // Jalisco, Mexico",,4,,,,"{""smoky"":50,""earthy"":20,""spicy"":80,""herbal"":60,""oily"":75,""bitter"":20,""rich"":70,""sweet"":85,""mineral"":45,""salty"":40,""umami"":10,""tart"":70,""fruity"":80,""floral"":60}",
1298,agave,"Código 1530 // Jalisco, Mexico",,2,,,,"{""smoky"":30,""earthy"":45,""spicy"":75,""herbal"":90,""oily"":75,""bitter"":20,""rich"":80,""sweet"":55,""mineral"":45,""salty"":35,""umami"":40,""tart"":40,""fruity"":65,""floral"":90}",
1299,agave,"Código 1530 // Jalisco, Mexico",,3,,,,"{""smoky"":0,""earthy"":30,""spicy"":25,""herbal"":25,""oily"":25,""bitter"":0,""rich"":20,""sweet"":20,""mineral"":20,""salty"":20,""umami"":40,""tart"":10,""fruity"":25,""floral"":10}",
1300,whiskey,"Highland, Scotland",21,5,51.8,,,,4.0
1301,brandy,"DEAU // Cognac, France",,4,,,,,
1302,whiskey,"Virginia, USA",,1,,,,,3.14
1303,sugarcane,Dominican Republic,,1,,,,,
1304,whiskey,"Dad's Hat // Pennsylvania, USA",NAS,2,45.0,"""The aroma is quite robust and spice filled, both from the grain and the wood. There is a touch of cherry juice and caramel found as well. Cherry notes continue on the palate, but an herbal and grassy component takes over, though this is not unwelcome. The finish is dry with a slight prickle, and has a nice tangy quality to it. Those looking for a sweet whiskey should look elsewhere.""",88,"{""smoky"":40,""peaty"":0,""spicy"":80,""herbal"":70,""oily"":30,""full_bodied"":60,""rich"":60,""sweet"":50,""briny"":0,""salty"":0,""vanilla"":50,""tart"":50,""fruity"":70,""floral"":10}",3.34
1305,whiskey,"Dad's Hat // Pennsylvania, USA",NAS,3,47.0,,,,3.67
1306,whiskey,"Dad's Hat // Pennsylvania, USA",NAS,2,47.0,"""The aroma is a mix of dried herbs, red fruit, and dark rye grains. The wine influence comes through on the palate providing a tang and a very subtle sweetness to the whiskey, but it is still by no means a sweet whiskey. The robust spice factor comes through loud and clear on the finish.  Though this can be sipped on its own, this expression is well suited to make a cocktail (perhaps the obvious Manhattan cocktail should be made first). 
""",84,"{""smoky"":30,""peaty"":0,""spicy"":60,""herbal"":70,""oily"":30,""full_bodied"":50,""rich"":50,""sweet"":50,""briny"":0,""salty"":0,""vanilla"":50,""tart"":50,""fruity"":80,""floral"":20}",3.21
1307,whiskey,"Dad's Hat // Pennsylvania, USA",4 Year,2,47.5,"""Dark chocolate truffles lead on the nose, with toasted rye bread and dill pickles combining for a deli sandwich effect. There's also black licorice, spicy oak, and cinnamon. The palate offers cedar chips with cinnamon and cloves, chocolate malt balls, baked apples, Red Hots, and aniseed.  A spicy, moderate length finish showcases spearmint, black pepper, parbaked dough and oak.""",90,"{""smoky"":20,""peaty"":0,""spicy"":80,""herbal"":60,""oily"":30,""full_bodied"":70,""rich"":60,""sweet"":50,""briny"":10,""salty"":10,""vanilla"":70,""tart"":30,""fruity"":40,""floral"":0}",3.6
1308,whiskey,"Pennsylvania, USA",,3,61.9,,,,3.94
1309,whiskey,"Daftmill // Lowlands, Scotland",12 Year,5,46.0,"""There are aromas of toasty barley, honey and red apple. It's almost creamy on the palate, with soft flavors of sweet orange, honey alongside spicy black pepper and clove. This whisky is light enough that it would be easy to go through a bottle quickly, so be sure to take the time to savor.""",88,"{""smoky"":5,""peaty"":0,""spicy"":50,""herbal"":0,""oily"":15,""full_bodied"":25,""rich"":30,""sweet"":35,""briny"":10,""salty"":7,""vanilla"":15,""tart"":10,""fruity"":33,""floral"":0}",4.5
1310,whiskey,"Lowland, Scotland",11,5,61.1,,,,4.17
1311,whiskey,"Dailuaine // Speyside, Scotland",16 Year,3,43.0,"""Sweet and floral on the opening, with a fruity backing that does well to level out the nose. Bananas, apricots and fresh oranges move over a bed of flowers, still wet with morning dew. With a drop or two of water, the nose becomes malty, and the lemons open up a bit more. Smoky wood chips begin to appear. On the palate it has a smoky hit, with woody notes coming through, soon covered by those same fruits. The finish is smoky and tart with a slight lemon flavor. Barrel flavors leave a pleasant taste in the mouth.""",82,"{""smoky"":45,""peaty"":0,""spicy"":15,""herbal"":15,""oily"":20,""full_bodied"":50,""rich"":50,""sweet"":45,""briny"":15,""salty"":15,""vanilla"":55,""tart"":60,""fruity"":80,""floral"":55}",3.86
1312,whiskey,"The Exclusive Malts // Speyside, Scotland",10 Year,4,58.4,,,,3.75
1313,whiskey,"The Dalmore // Highlands, Scotland",12 Year,3,40.0,"""There are a fair amount of layers to this 12 year old whisky starting with the aroma: dark honey, cereal, citrus, and vanilla. The sherry really comes on the scene when you taste the whisky with cinnamon, dried fruits, and bitter chocolate. The finish is pleasant and of decent length. In short, for the price, it's a solid choice.""",88,"{""smoky"":40,""peaty"":10,""spicy"":50,""herbal"":20,""oily"":40,""full_bodied"":60,""rich"":60,""sweet"":80,""briny"":10,""salty"":10,""vanilla"":60,""tart"":30,""fruity"":70,""floral"":30}",3.69
1314,whiskey,"The Dalmore // Highlands, Scotland",12 Year,4,43.0,"""Pretty richly sherried with some clear dry oloroso notes, but also more sour, aceto balsamico notes commonly associated with Pedro Ximènez sherry. Hints of fudge and toffee accompanied by orange zest and rum raisins. We're off to a good start. The mouthfeel is a bit thin, but flavorwise we're in good territory. Think chocolate truffles and a warming spiciness with cinnamon and cloves. You'll find a bit of orange liqueur in the background as well.""",87,"{""smoky"":0,""peaty"":0,""spicy"":25,""herbal"":10,""oily"":10,""full_bodied"":30,""rich"":45,""sweet"":25,""briny"":0,""salty"":0,""vanilla"":25,""tart"":20,""fruity"":40,""floral"":10}",3.88
1315,whiskey,"The Dalmore // Highlands, Scotland",15 Year,4,40.0,"""The wine finish really brings a whole other dimension to the taste.  There's a cherry wood aroma along with dried fruits like dates and dried berries.  The taste goes even deeper with the fruit and spice and brings a sense of mulled wine.  There is a bright acidity throughout the dram which helps to not make the whisky fall flat.""",86,"{""smoky"":30,""peaty"":10,""spicy"":60,""herbal"":30,""oily"":10,""full_bodied"":70,""rich"":80,""sweet"":80,""briny"":10,""salty"":10,""vanilla"":60,""tart"":30,""fruity"":90,""floral"":20}",3.85
1316,whiskey,"The Dalmore // Highlands, Scotland",18 Year,5,43.0,"""The color is dark amber and full of nuts on the nose and almost, maybe soy sauce.  The whisky is quite chewy and, in fact, tastes of the Nestlé candy Chunky which is milk chocolate, raisins, and peanuts.  The fruit that stands out is orange and the finish is very nutty and slightly bitter.""",92,"{""smoky"":30,""peaty"":10,""spicy"":70,""herbal"":10,""oily"":10,""full_bodied"":80,""rich"":90,""sweet"":80,""briny"":10,""salty"":10,""vanilla"":60,""tart"":30,""fruity"":90,""floral"":30}",4.19
1317,whiskey,"The Dalmore // Highlands, Scotland",21 Year,5,42.0,,,,4.49
1318,whiskey,"The Dalmore // Highlands, Scotland",NAS,3,43.0,"""This was created to provide a whisky that paired well with cigars without one overpowering the other.  Regardless of whether you smoke or not, this is one for after dinner.  Coffee, brûléed sugar, dried herbs, and wet tobacco greet you on the nose.  The body is smooth and honey filled with pears, raisins and baking spices.  Track this down and buy all you can find.""",92,"{""smoky"":20,""peaty"":0,""spicy"":60,""herbal"":60,""oily"":20,""full_bodied"":60,""rich"":60,""sweet"":60,""briny"":0,""salty"":0,""vanilla"":50,""tart"":30,""fruity"":70,""floral"":10}",4.05
1319,whiskey,"The Dalmore // Highlands, Scotland",NAS,4,44.0,"""The nose on this complex Highland whiskey offers bright orange peel, rich aromas of figs and raisins followed by dry Baker’s chocolate, nutty sherry notes and just a whisper of delicate smoke. The palate is robust with ripe tropical fruit, raisins and orange zest.  This is followed by dark chocolate, vanilla and unctuous sherry notes. This whiskey finishes long and spicy with hints of fennel, sharp ginger and rich vanilla notes.
""",90,"{""smoky"":60,""peaty"":50,""spicy"":70,""herbal"":40,""oily"":70,""full_bodied"":80,""rich"":80,""sweet"":80,""briny"":15,""salty"":15,""vanilla"":70,""tart"":50,""fruity"":80,""floral"":50}",4.15
1320,whiskey,"The Dalmore // Highlands, Scotland",NAS,3,40.0,"""Aromatic orange zest is presented on the nose in addition to winter baking spices.  The sweet notes continue with vanilla cream, cinnamon, and dried fruits.  The finish is long, but mercifully doesn't end up cloying.  There is a slightly smoked and dried conclusion.    
""",86,"{""smoky"":30,""peaty"":0,""spicy"":70,""herbal"":30,""oily"":20,""full_bodied"":60,""rich"":70,""sweet"":80,""briny"":0,""salty"":0,""vanilla"":50,""tart"":20,""fruity"":80,""floral"":10}",3.94
1321,whiskey,"The Dalmore // Highlands, Scotland",NAS,5,40.0,"""With all of those wine finishes, you'd expect the nose to be fruit filled, but it is also floral.  Each one of the wines themselves are so expressive, providing red fruit, nuts, winter spices, and chocolate.  The dark malty character is still there underneath it all.""",88,"{""smoky"":20,""peaty"":10,""spicy"":70,""herbal"":10,""oily"":20,""full_bodied"":70,""rich"":80,""sweet"":80,""briny"":10,""salty"":10,""vanilla"":60,""tart"":20,""fruity"":90,""floral"":60}",4.28
1322,whiskey,"Highland, Scotland",,4,40.0,,,,3.73
1323,whiskey,"The Dalmore // Highlands, Scotland",NAS,4,46.5,,,,3.79
1324,whiskey,Scotland,,3,40.0,,,,3.78
1325,whiskey,"The Dalmore // Highlands, Scotland",,3,40.0,,,,3.92
1326,whiskey,"The Dalmore // Highlands, Scotland",NAS,3,40.0,"""Barrel influences dominate the nose with aromas like saw dust, incense, and brown sugar. Brandied cherries and amber honey dominate as the sweet flavors. The finish is warming and goes back to sweet spiced notes with a hint of char smoke.""",83,"{""smoky"":20,""peaty"":0,""spicy"":45,""herbal"":10,""oily"":10,""full_bodied"":60,""rich"":60,""sweet"":75,""briny"":0,""salty"":0,""vanilla"":45,""tart"":25,""fruity"":65,""floral"":10}",3.56
1327,whiskey,"The Dalmore // Highlands, Scotland",15 Year,5,40.0,,,,4.22
1328,whiskey,"Highland, Scotland",,4,43.0,,,,4.2
1329,whiskey,"Dalwhinnie // Highlands, Scotland",15 Year,3,43.0,"""Aged in mostly ex bourbon barrels, the aroma is very sweet with vanilla and honey at the center of it all.  The whisky is full and rich on your palate with some classic Highland heather and salt.  Overall, though, this whisky is all about the honey bear.  Although not exceedingly complex, this is an underrated malt.  Introduce your friends to this whisky who don't know they like Scotch whisky yet.""",91,"{""smoky"":20,""peaty"":20,""spicy"":50,""herbal"":40,""oily"":30,""full_bodied"":90,""rich"":90,""sweet"":90,""briny"":20,""salty"":40,""vanilla"":70,""tart"":30,""fruity"":70,""floral"":70}",3.77
1330,whiskey,"Dalwhinnie // Highlands, Scotland",16,3,43.0,"""The classic Dalwhinnie 15 Year release is full of honey, heather, vanilla, and salt.  The Oloroso finish adds a splash of berry fruits and baking spices without overwhelming the dram.""",90,"{""smoky"":20,""peaty"":15,""spicy"":60,""herbal"":20,""oily"":20,""full_bodied"":70,""rich"":70,""sweet"":80,""briny"":10,""salty"":50,""vanilla"":70,""tart"":40,""fruity"":80,""floral"":70}",3.99
1331,whiskey,"Highland, Scotland",,4,48.0,,,,3.84
1332,whiskey,"Dalwhinnie // Highlands, Scotland",NAS,2,43.0,"""Distinct notes of overripe apple and pear skin, as well as a touch of honey, and fresh peaches, with a tad too much vanilla. Pretty classic Dalwhinnie. The palate is slightly resinous, with a fair amount of nuttiness and soft spices (crack black peppercorns). But where's the fruit? The finish is pretty short, with a hint of ginger.""",81,"{""smoky"":0,""peaty"":0,""spicy"":20,""herbal"":10,""oily"":10,""full_bodied"":30,""rich"":35,""sweet"":20,""briny"":5,""salty"":0,""vanilla"":30,""tart"":30,""fruity"":10,""floral"":0}",3.49
1333,whiskey,"Dalwhinnie // Highlands, Scotland",NAS,3,43.0,,,,3.45
1334,whiskey,"Wisconsin , USA",,2,47.0,,,,3.43
1335,whiskey,"Dancing Pines // Colorado, USA",NAS,2,44.0,"""Bright orange-gold in color. Earthy nose with hints of cereal grains, caramel, and honey. The honey carries over into the palate, as does the caramel. Cardamom and warm vanilla sugar are evident on the quick finish of this lighter flavor bourbon. """,82,"{""smoky"":5,""peaty"":0,""spicy"":0,""herbal"":10,""oily"":0,""full_bodied"":10,""rich"":10,""sweet"":50,""briny"":0,""salty"":0,""vanilla"":45,""tart"":0,""fruity"":50,""floral"":40}",3.09
1336,whiskey,"Dark Corner Distillery // South Carolina, USA",NAS,3,43.0,"""Spice cake, strawberry, caramel corn and cherries on the nose makes for a pleasant first whiff. It's a very fruity tasting whiskey, with cherry, wood, grain, and a lingering bitterness. A few drops of water turn the nose funky at first, then brings out stewed prunes, orange, anise, and most surprisingly, peanut butter. There are a lot of interesting flavors that haven't had a chance to meld and mature into the cohesive whole more time and larger barrels would make.
""",77,"{""smoky"":10,""peaty"":0,""spicy"":60,""herbal"":50,""oily"":30,""full_bodied"":50,""rich"":50,""sweet"":60,""briny"":0,""salty"":10,""vanilla"":50,""tart"":60,""fruity"":80,""floral"":60}",2.9
1337,whiskey,"Dark Horse Distillery // Kansas, USA",18-20 mos,3,44.5,"""A bold, spicy rye that’s very weighty on the tongue. Dry, cereal grain flavors (think Kashi) with warm, toasty flavors and an odd buttery note. It does ends a bit astringent. 
""",73,"{""smoky"":0,""peaty"":0,""spicy"":80,""herbal"":0,""oily"":0,""full_bodied"":68,""rich"":65,""sweet"":75,""briny"":0,""salty"":0,""vanilla"":10,""tart"":0,""fruity"":10,""floral"":0}",2.96
1338,brandy,"Dartigalongue  // Bas Armagnac, France",,2,,,,,
1339,whiskey,"Kentucky, USA",,2,50.0,"""This review will make a bit more sense for those that play poker.  This whiskey “slow plays” its hand. The nose is a smokescreen of alcohol covering unpasteurized honey and sawdust. If you’re patient it will clear up a bit and show an additional note of roasted corn. The cards are laid on the table when you taste the whiskey. All of a sudden it’s got corn coming out of its ears. The honey wraps around the mid palate to give a candy-corn dimension and the sawdust evolves into bold toasted oak. The finish is hot and spicy, but adding a few drops of water douses the unnecessary burn.""",77,"{""smoky"":0,""peaty"":0,""spicy"":25,""herbal"":0,""oily"":10,""full_bodied"":45,""rich"":40,""sweet"":50,""briny"":0,""salty"":0,""vanilla"":20,""tart"":0,""fruity"":30,""floral"":10}",3.11
1340,whiskey,"David Nicholson // Kentucky (bottled in Missouri), USA",NAS,2,50.0,"""The phrase ""high-rye bourbon"" is a popular one these days, so a new one coming in at 100-proof is bound to pique interest. The David Nicholson Reserve is strikingly well-balanced, with neither too much spice nor off-putting oak. It has just the amount of vanilla with a hint of char and a long, sweet finish. It would make a delightful Old Fashioned or Manhattan, and is also very enjoyable sipped neat.""",91,"{""smoky"":15,""peaty"":0,""spicy"":35,""herbal"":10,""oily"":35,""full_bodied"":30,""rich"":60,""sweet"":50,""briny"":10,""salty"":0,""vanilla"":35,""tart"":15,""fruity"":10,""floral"":10}",3.69
1341,whiskey,"Tennessee, USA",5,2,60.5,,,,2.04
1342,whiskey,"Daviess County // Kentucky, USA",NAS,2,48.0,"""Daviess County Straight Bourbon presents a charmingly distinguished character on all fronts.  The nose is gentle but expressive, with maple syrup, buttered biscuit, and sweet corn all evenly intertwined with a tempered barrel char.  Flavors of caramel apple, baking spice, and vanilla coast across the palate.  The body of the whiskey is smooth and lively.  Great for sipping, but also bottled at a strong mixing proof.""",89,"{""smoky"":45,""peaty"":0,""spicy"":65,""herbal"":20,""oily"":70,""full_bodied"":80,""rich"":85,""sweet"":85,""briny"":0,""salty"":0,""vanilla"":85,""tart"":60,""fruity"":70,""floral"":30}",3.47
1343,whiskey,"Daviess County // Kentucky, USA",NAS,2,48.0,"""From the tinged color to the brooding finish, the Cabernet Sauvignon cask has finger prints all over this bourbon from Daviess County.  The highly focused nose is defined by dark berry, pepper and vanilla aromas.  The spirit hits the palate with some weight opening with rye spice and a tannic dryness.  The second act is full of charming cola, butterscotch and caramel flavors that finish with a surprising softness.  A drop of water is recommended.  """,91,"{""smoky"":30,""peaty"":0,""spicy"":85,""herbal"":10,""oily"":50,""full_bodied"":85,""rich"":80,""sweet"":75,""briny"":0,""salty"":20,""vanilla"":80,""tart"":20,""fruity"":55,""floral"":40}",3.71
1344,whiskey,"Daviess County // Kentucky, USA",NAS,2,48.0,"""A well-balanced use of French oak, which can be tricky with a spirit as muscular as bourbon.  Right out of the glass is a rush of floral and pastry (think pound cake) notes that are held tightly together by sturdy rye and spice aromas.  The palate is lush with nut and pear flavors that closes with a lingering tobacco note.  Elegant and fun.""",91,"{""smoky"":10,""peaty"":0,""spicy"":60,""herbal"":0,""oily"":60,""full_bodied"":80,""rich"":75,""sweet"":90,""briny"":0,""salty"":0,""vanilla"":90,""tart"":30,""fruity"":80,""floral"":95}",3.64
